EntidadFederativa,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019
Aguascalientes,N/D,N/D,N/D,N/D,8818.89966,6862.07478,7856.16918,8804.0191,8488.838,7188.445,8648.146,10346.368,10426.677,9626.307,7858.5611,11838.304,11028.896,9152.23,8609.392,10594.769,11361.263,8350.939,8726.297,10583.729,9928.951,7651.764,8284.693,10161.297,9884.041,7567.684,9029.354,8665.386,7977.633,7945.175,8697.01,11555.41,9895.816,9224.634,8696.886,10376.571,10131.631,8971.652,8074.886,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Baja California,N/D,N/D,N/D,N/D,11796.8599,11048.71336,10193.17341,11771.65962,12765.66135,12021.40982,10629.33465,12520.20249,12905.64678,11765.60917,10034.88853,11538.36206,11566.29366,19776.01688,18340.69902,21641.22947,21641.36579,20967.98087,18845.977,21519.75,24453.964,19336.742,17089.344,20221.088,20407.299,18147.226,22875.045,19532.697,21873.749,19176.347,18344.508,23012.501,22048.882,20958.528,16959.128,11342.314,11865.923,10171.259,9551.038,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Baja California Sur,N/D,N/D,N/D,N/D,1612.039,996.984,631.473,1195.056,4604.659,4239.698,3050.252,3894.916,6131.345,4135.68,2998.358,4024.835,6474.956,4359.974,2452.105,4769.467,6381.744,4677.275,3694.176,5694.674,6026.686,4771.456,3333.516,5416.517,6627.421,3595.531,1890.754,4092.366,5955.888,4513.234,3765.806,5172.542,6293.754,3841.15,2764.446,4544.621,5997.423,4871.818,3358.387,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Campeche,N/D,N/D,N/D,N/D,2567.504,2450.142,2519.704,2989.367,2677.974,2502.737,2529.966,3051.825,2765.909,2652.629,2866.124,3450.786,3287.31,3099.848,3057.405,3564.705,3497.683,2875.764,3060.212,3085.973,2646.413,2326.55,2327.394,2921.181,2404.6,2309.894,2179.595,2349.494,3238.611,3200.147,3285.413,2724.68,3002.071,2796.352,2804.984,3168.086,2560.578,2628.74,2574.019,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Chiapas,N/D,N/D,N/D,N/D,11315.737,10814.932,12002.583,11664.637,12377.262,11035.16134,10975.30722,11103.57846,9440.85,11188.004,10094.174,12234.702,12583.238,12689.714,12978.745,14053.548,14170.577,13150.517,14369.191,15971.612,15262.642,14247.969,13708.577,14983.974,14248.195,13020.082,14042.231,15673.851,14781.695,14557.875,15148.674,16409.433,15778.676,16755.893,14805.939,16189.776,14778.329,14317.743,14766.067,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Chihuahua,N/D,N/D,N/D,N/D,18097.751,12526.866,11337.96,18026.002,18029.172,10654.437,9873.035,13176.328,21906.794,12831.477,13236.904,11611.887,12972.235,10008.584,8449.847,13061.878,16766.77,12582.476,12287.382,19236.366,23472.503,14557.493,13663.838,24984.385,22074.084,13897.643,14270.609,22229.943,25613.008,14370.191,14705.762,25588.125,21946.022,14554.924,14737.791,24170.265,22264.192,14344.063,13532.385,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Coahuila,N/D,N/D,N/D,N/D,8066.0833,7233.6699,7885.04859,10086.99741,14260.36952,12138.99145,9741.07259,11176.38756,10307.44674,10604.39415,11412.89799,11930.25179,10691.82388,9144.07,9107.94,12054.91,14744.533,11654.985,10994.171,13910.761,12083.405,9142.527,9115.201,11488.715,11666.281,9942.159,9241.536,12619.933,11611.354,10150.651,9787.987,13712.062,18005.492,13937.452,15106.995,13417.362,17067.334,14239.013,12221.321,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Colima,N/D,N/D,N/D,N/D,2312.171,2299.131,2225.963,2284.723,2268.788,2248.993,2168.782,2313.905,2327.35,2108.902,2072.285,2276.785,2528.265,2243.532,2082.284,2308.114,2200.37,2038.786,2085.399,2296.271,2259.733,2035.241,2022.946,2108.452,2053.436,1994.386,1856.32,2002.078,1949.956,1877.456,1879.464,1976.034,2907.697,2444.54,2570.997,2979.071,3012.377,1711.994,1654.203,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Distrito Federal,N/D,N/D,N/D,N/D,11366.93,10733.718,11463.04351,11574.70186,11818.27834,17015.011,18563.289,20091.387,19387.295,18859.538,18236.146,22015.158,21057.19,15371.357,24233.801,33290.179,21786.116,21755.43,21598.519,21019.176,19359.331,21964.619,20345.748,24903.044,23936.902,21796.307,21376.395,28688.673,21471.405,18346.276,20445.306,23861.526,22788.295,21434.584,23816.553,28238.402,27052.46,19469.984,19843.186,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Durango,N/D,N/D,N/D,N/D,4494.995,3873.096,4254.215,5257.999,1508.72377,1301.557,1401.48178,1628.5038,2695.7457,2580.01861,2997.585,3033.102,2858.559,4907.271,5687.481,6946.739,6726.573,5273.614,5443.192,5696.519,4944.805,4106.545,4274.808,5676.001,5435.436,4600.163,4080.759,5066.677,4397.902,3475.893,3104.213,4068.932,4368.883,3798.628,4241.489,4288.974,4033.26,3472.822,3569.88,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Guanajuato,N/D,N/D,N/D,N/D,30826.538,29120.724,30747.964,32272.776,28190.9,26405.57219,28849.06268,32126.76,30907.40868,29365.81436,32331.12611,34528.66168,31916.08326,30309.619,31676.604,36405.954,35585.024,30907.154,32477.512,38264.227,35321.264,31006.904,33659.61,36752.683,37713.102,33868.959,35398.341,28732.122,26525.854,23860.235,25328.453,28955.511,26224.799,24245.756,25517.021,29063.737,28869.574,25815.928,27250.394,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Guerrero,N/D,N/D,N/D,N/D,11998.855,11460.705,11425.977,10097.131,12916.202,12215.564,12289.538,13863.929,14262.775,13413.751,13438.825,14223.126,13694.155,13454.179,12976.814,13930.659,13604.721,13611.582,13103.756,13729.594,12918.948,12583.529,12770.645,13534.706,13216.46,12737.034,12280.62,12736.231,13595.374,15502.393,14049.393,13050.387,14359.433,14449.868,14858.721,16660.375,15746.692,14143.873,14014.267,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Hidalgo,N/D,N/D,N/D,N/D,30375.00432,28703.66024,26927.28,31058.141,25529.69,22055.424,22071.145,25880.4475,29782.759,24439.749,24887.201,26613.591,24792.787,23464.632,23735.501,25018.949,23794.833,21901.409,21779.432,24792.386,21769.785,20731.165,22705.817,24715.752,23654.052,23385.143,23539.042,28272.79,25309.493,23789.477,24982.661,26778.629,22251.93,23379.239,23868.285,26240.687,25532.386,26483.178,25322.505,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Jalisco,N/D,N/D,N/D,N/D,68976.43448,59396.67932,62453.368,67392.189,67156.846,60667.584,63818.763,67865.269,72170.558,60668.559,64924.908,68800.80879,69657.504,69216.809,62922.782,71740.662,74733.239,64013.762,65731.231,79221.167,77650.775,66695.947,70001.525,75232.541,78762.793,65332.868,69925.876,76238.172,74841.3,64844.35,68126.837,76263.811,81065.76,69464.637,74317.918,56882.789,57826.01,51297.36,52831.879,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
